Type,Sn_kVA,PF,Pn_kW,IP,Instance_name,Profile
C1,1000,0.9,900,10.147.14.11,BEMS_1,Prof_C_csv.csv
C2,1000,0.9,900,10.147.14.11,BEMS_2,Prof_C_csv.csv
C3,1000,0.9,900,10.147.14.11,BEMS_3,Prof_C_csv.csv
C4,1000,0.9,900,10.147.14.13,BEMS_4,Prof_C_csv.csv
C5,1000,0.9,900,10.147.14.13,BEMS_5,Prof_C_csv.csv
C6,1000,0.9,900,10.147.14.13,BEMS_6,Prof_C_csv.csv
P1,1000,0.9,900,10.147.14.14,BEMS_7,Prof_P_csv.csv
P2,1000,0.9,900,10.147.14.14,BEMS_8,Prof_P_csv.csv
P3,1000,0.9,900,10.147.14.14,BEMS_9,Prof_P_csv.csv
P4,1000,0.9,900,10.147.14.16,BEMS_10,Prof_P_csv.csv
P5,1000,0.9,900,10.147.14.16,BEMS_11,Prof_P_csv.csv
P6,1000,0.9,900,10.147.14.16,BEMS_12,Prof_P_csv.csv
I1,1000,0.9,900,10.147.14.8,BEMS_13,Prof_I_csv.csv
I2,1000,0.9,900,10.147.14.8,BEMS_14,Prof_I_csv.csv
I3,1000,0.9,900,10.147.14.9,BEMS_15,Prof_I_csv.csv
I4,1000,0.9,900,10.147.14.9,BEMS_16,Prof_I_csv.csv
I5,1000,0.9,900,10.147.14.8,BEMS_17,Prof_I_csv.csv
I6,1000,0.9,900,10.147.14.9,BEMS_18,Prof_I_csv.csv
I6,1000,0.9,900,10.147.14.27,NIRE_EMS_Test,Prof_I_csv.csv
