LoadID,Priority,Consumption,LoadType,Site
w1,3,100,NIRE_WeMo_cc_1,building540
w2,3,100,NIRE_WeMo_cc_1,building540
w3,3,100,NIRE_WeMo_cc_1,building540
w4,3,100,NIRE_WeMo_cc_1,building540
w5,3,100,NIRE_WeMo_cc_1,building540
w6,3,100,NIRE_WeMo_cc_1,building540
w7,3,100,NIRE_WeMo_cc_1,building540
w8,3,100,NIRE_WeMo_cc_1,building540
w9,3,100,NIRE_WeMo_cc_1,building540
w10,3,100,NIRE_WeMo_cc_1,building540
w11,3,100,NIRE_WeMo_cc_1,building540
w12,3,100,NIRE_WeMo_cc_1,building540
w13,3,100,NIRE_WeMo_cc_1,building540
w14,3,100,NIRE_WeMo_cc_1,building540
w15,3,100,NIRE_WeMo_cc_1,building540
w16,3,100,NIRE_WeMo_cc_1,building540
w17,3,101,NIRE_WeMo_cc_1,building540
w18,3,102,NIRE_WeMo_cc_1,building540
w19,3,103,NIRE_WeMo_cc_1,building540
